Date,Thermal Generation Estimated (in MU),Thermal Generation Actual (in MU)
2018-08-15,2575.62,2848.34
2018-08-16,2595.7400000000002,2859.59
2018-08-17,2624.2,2853.46
2018-08-18,2692.06,2867.45
2018-08-19,2530.12,2883.79
2018-08-20,2573.01,2870.37
2018-08-21,2618.98,2865.22
2018-08-22,2656.86,2868.5
2018-08-23,2630.41,2866.35
2018-08-24,2663.27,2857.82
2018-08-25,2616.0699999999997,2863.42
2018-08-26,2444.3199999999997,2874.09
2018-08-27,2618.73,2886.62
2018-08-28,2688.66,2886.01
2018-08-29,2699.79,2896.23
2018-08-30,2695.7400000000002,2924.6800000000003
2018-09-01,2640.12,2892.21
2018-09-02,2468.32,2892.21
2018-09-03,2511.53,2892.21
2018-09-04,2616.45,2898.96
2018-09-05,2643.15,2909.27
2018-09-06,2677.85,2905.27
2018-09-07,2699.71,2912.4
2018-09-08,2723.03,2899.69
2018-09-09,2754.1,2887.94
2018-09-10,2907.35,2882.83
2018-09-11,2985.74,2889.38
2018-09-12,2996.82,2889.38
2018-09-13,3005.0899999999997,2903.04
2018-09-14,3120.46,2937.9900000000002
2018-09-15,3162.71,2944.4100000000003
2018-09-16,3162.11,2953.88
2018-09-17,3163.84,2953.88
2018-09-18,3193.4300000000003,2950.69
2018-09-19,3216.62,2953.6099999999997
2018-09-20,3197.16,2943.72
2018-09-21,3043.11,2944.12
2018-09-22,2758.43,2963.67
2018-09-23,2649.4900000000002,2975.0499999999997
2018-09-24,2784.7999999999997,2975.0499999999997
2018-09-25,2882.81,2988.12
2018-09-26,2972.64,3009.7400000000002
2018-09-27,3013.38,3014.2400000000002
2018-09-28,3083.09,3014.2400000000002
2018-09-29,3114.86,3014.2400000000002
2018-09-30,3031.32,3015.3
2018-10-01,3127.2599999999998,3019.27
2018-10-02,3094.87,3029.95
2018-10-03,3206.57,3025.95
2018-10-04,3215.07,3025.95
2018-10-05,3202.52,3029.14
2018-10-06,3177.75,3033.22
2018-10-07,3141.65,3033.22
2018-10-08,3229.8,3047.39
2018-10-09,3219.08,3049.74
2018-10-10,3269.42,3049.74
2018-10-11,3197.1,3054.36
2018-10-12,3164.9700000000003,3052.48
2018-10-13,3148.73,3053.32
2018-10-14,3086.21,3053.32
2018-10-15,3184.63,3048.01
2018-10-16,3193.29,3034.66
2018-10-17,3177.08,3037.66
2018-10-18,3071.02,3037.66
2018-10-19,3036.7200000000003,3039.23
2018-10-20,3079.19,3041.23
2018-10-21,3060.03,3039.23
2018-10-22,3106.31,3039.23
2018-10-23,3157.41,3039.6
2018-10-24,3170.96,3040.08
2018-10-25,3170.0299999999997,3043.22
2018-10-26,3115.92,3067.31
2018-10-27,3101.1,3067.31
2018-10-28,2986.45,3067.31
2018-10-29,3058.5400000000004,3071.77
2018-10-30,3088.37,3072.08
2018-10-31,3119.7599999999998,3080.77
2018-11-01,3144.0299999999997,3039.74
2018-11-02,3138.05,3047.14
2018-11-03,3070.58,3047.2799999999997
2018-11-04,2927.54,3051.06
2018-11-05,3046.3,3053.0200000000004
2018-11-06,3000.56,3040.94
2018-11-07,2792.66,3045.36
2018-11-08,2664.7999999999997,3045.36
2018-11-09,2771.6499999999996,3028.6000000000004
2018-11-10,2859.09,3002.3900000000003
2018-11-11,2868.39,3000.09
2018-11-12,2954.43,2989.21
2018-11-13,2996.7599999999998,2989.21
2018-11-14,2987.79,2988.42
2018-11-15,2953.84,2980.2799999999997
2018-11-16,2891.64,2990.95
2018-11-17,2935.33,2990.95
2018-11-18,2905.29,2988.31
2018-11-19,2979.52,2984.23
2018-11-20,2975.6400000000003,2952.76
2018-11-21,2978.0,2955.06
2018-11-22,2944.81,2958.17
2018-11-23,2903.85,2963.38
2018-11-24,2934.81,2967.46
2018-11-25,2878.66,2976.99
2018-11-26,2931.8799999999997,2985.63
2018-11-27,2946.7599999999998,2985.63
2018-11-28,2941.88,2985.63
2018-11-29,2949.3199999999997,2985.63
2018-11-30,2948.6200000000003,3003.6899999999996
2018-12-01,2914.59,2915.25
2018-12-02,2825.0,2925.82
2018-12-03,2888.46,2925.82
2018-12-04,2924.51,2942.5
2018-12-05,2954.86,2937.5299999999997
2018-12-06,2977.8,2961.45
2018-12-07,2943.97,2964.4300000000003
2018-12-08,2925.11,2960.81
2018-12-09,2860.57,2963.46
2018-12-10,2938.86,2975.81
2018-12-11,2951.87,2991.66
2018-12-12,2920.54,2979.75
2018-12-13,2906.86,2993.54
2018-12-14,2847.17,2977.85
2018-12-15,2781.6800000000003,2979.84
2018-12-16,2714.2400000000002,2985.65
2018-12-17,2779.09,2992.2
2018-12-18,2812.68,2992.2
2018-12-19,2853.35,2997.62
2018-12-20,2895.42,3006.43
2018-12-21,2950.21,3021.99
2018-12-22,2953.01,3027.25
2018-12-23,2851.2000000000003,3027.89
2018-12-24,2879.46,3033.62
2018-12-25,2908.03,3044.5
2018-12-26,2979.9900000000002,3058.5699999999997
2018-12-27,3010.38,3066.72
2018-12-28,2994.9199999999996,3066.72
2018-12-29,2933.77,3066.72
2018-12-30,2837.11,3071.72
2018-12-31,2901.98,3082.5899999999997
2019-01-01,2895.1,3114.04
2019-01-02,2924.6099999999997,3114.04
2019-01-03,2945.95,3114.9
2019-01-04,2989.44,3114.9
2019-01-05,2949.25,3109.14
2019-01-06,2809.81,3105.7400000000002
2019-01-07,2882.23,3121.18
2019-01-08,2988.47,3123.5099999999998
2019-01-09,2972.29,3133.8599999999997
2019-01-10,2997.3199999999997,3118.4
2019-01-11,3036.04,3122.64
2019-01-12,3026.77,3113.73
2019-01-13,2903.5299999999997,3113.73
2019-01-14,2810.59,3111.9900000000002
2019-01-15,2874.6499999999996,3113.17
2019-01-16,2949.09,3119.21
2019-01-17,2968.09,3105.74
2019-01-18,3008.85,3114.5299999999997
2019-01-19,2994.83,3114.5299999999997
2019-01-20,2893.6899999999996,3115.27
2019-01-21,2861.27,3115.27
2019-01-22,2829.8199999999997,3116.1299999999997
2019-01-23,2960.96,3124.5099999999998
2019-01-24,2918.69,3112.8
2019-01-25,2892.84,3110.38
2019-01-26,2697.7799999999997,3113.05
2019-01-27,2683.4,3113.2
2019-01-28,2810.11,3103.64
2019-01-29,2875.4,3103.64
2019-01-30,2930.89,3100.99
2019-01-31,2931.8,3123.2200000000003
